"id"	"type_id"	"mat_id"	"name"	"group_id"	"radius"	"shag"	"gabarit"	"width"	"diam"	"kolvo_sklad"	"norma"	"zakaz"	"geometry"	"id_parent"	"property"
"344"	"51"	"30"	"C25-2D17-34WC03 USSHARP"	"101"			"хвостовик диаметром 25мм"	"2D"	"17"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""17"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"343"	"51"	"30"	"C25-2D16-32WC03 USSHARP"	"101"			"хвостовик диаметром 25мм"	"2D"	"16"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""16"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"349"	"51"	"30"	"C25-3D19-60WC03 LIFENG "	"101"			"хвостовик диаметром 25мм"	"3D"	"19"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""19"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"352"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"21"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""21"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"355"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"22"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""22"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"346"	"51"	"30"	"C25-2D18-36WC03 USSHARP"	"101"			"хвостовик диаметром 25мм"	"2D"	"18"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""18"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"347"	"51"	"30"	"C25-3D18-56WC03 WEILA "	"101"			"хвостовик диаметром 25мм"	"3D"	"18"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""18"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"348"	"51"	"30"	"C25-2D19-41WC03"	"101"			"хвостовик диаметром 25мм"	"2D"	"19"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""19"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"350"	"51"	"30"	"C25-2D20-43WC03 LIFENG "	"101"			"хвостовик диаметром 25мм"	"2D"	"20"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""20"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"353"	"51"	"30"	"C25-3D21-66WC04 WEILA "	"101"			"хвостовик диаметром 25мм"	"3D"	"21"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""21"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
