"id"	"type_id"	"mat_id"	"radius"	"name"	"kolvo_sklad"	"norma"	"zakaz"	"group_id"	"shag"	"gabarit"	"width"	"diam"	"geometry"	"property"	"parent_id"
"245"	"51"	"30"		""				"71"		" стандартный"		"4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4""}"	
"249"	"51"	"30"		""				"71"		" стандартный"		"4.4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4.4""}"	
"250"	"51"	"30"		""				"71"		" стандартный"		"4.5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4.5""}"	
"251"	"51"	"30"		""				"71"		" стандартный"		"4.6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4.6""}"	
"252"	"51"	"30"		""				"71"		" стандартный"		"4.7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4.7""}"	
"253"	"51"	"30"		""				"71"		" стандартный"		"4.8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4.8""}"	
"254"	"51"	"30"		""				"71"		" стандартный"		"4.9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""4.9""}"	
"256"	"51"	"30"		""				"71"		" стандартный"		"5,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,1""}"	
"257"	"51"	"30"		""				"71"		" стандартный"		"5.2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5.2""}"	
"258"	"51"	"30"		""				"71"		" стандартный"		"5.3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5.3""}"	
"259"	"51"	"30"		""				"71"		" стандартный"		"5,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,4""}"	
"260"	"51"	"30"		""				"71"		" стандартный"		"5,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,5""}"	
"261"	"51"	"30"		""				"71"		" стандартный"		"5,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,6""}"	
"262"	"51"	"30"		""				"71"		" стандартный"		"5,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,7""}"	
"263"	"51"	"30"		""				"71"		" стандартный"		"5,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,8""}"	
"264"	"51"	"30"		""				"71"		" стандартный"		"5,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""5,9""}"	
"265"	"51"	"30"		""				"71"		" стандартный"		"6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6""}"	
"266"	"51"	"30"		""				"71"		" стандартный"		"6,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,1""}"	
"267"	"51"	"30"		""				"71"		" стандартный"		"6,2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,2""}"	
"268"	"51"	"30"		""				"71"		" стандартный"		"6,3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,3""}"	
"269"	"51"	"30"		""				"71"		" стандартный"		"6,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,4""}"	
"270"	"51"	"30"		""				"71"		" стандартный"		"6,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,5""}"	
"271"	"51"	"30"		""				"71"		" стандартный"		"6,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,6""}"	
"272"	"51"	"30"		""				"71"		" стандартный"		"6,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,7""}"	
"273"	"51"	"30"		""				"71"		" стандартный"		"6,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,8""}"	
"274"	"51"	"30"		""				"71"		" стандартный"		"6,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""6,9""}"	
"275"	"51"	"30"		""				"71"		" стандартный"		"7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7""}"	
"276"	"51"	"30"		""				"71"		" стандартный"		"7,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,1""}"	
"277"	"51"	"30"		""				"71"		" стандартный"		"7,2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,2""}"	
"278"	"51"	"30"		""				"71"		" стандартный"		"7,3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,3""}"	
"279"	"51"	"30"		""				"71"		" стандартный"		"7,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,4""}"	
"280"	"51"	"30"		""				"71"		" стандартный"		"7,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,5""}"	
"281"	"51"	"30"		""				"71"		" стандартный"		"7,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,6""}"	
"282"	"51"	"30"		""				"71"		" стандартный"		"7,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,7""}"	
"283"	"51"	"30"		""				"71"		" стандартный"		"7,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,8""}"	
"284"	"51"	"30"		""				"71"		" стандартный"		"7,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""7,9""}"	
"285"	"51"	"30"		""				"71"		" стандартный"		"8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8""}"	
"286"	"51"	"30"		""				"71"		" стандартный"		"8,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,1""}"	
"287"	"51"	"30"		""				"71"		" стандартный"		"8,2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,2""}"	
"288"	"51"	"30"		""				"71"		" стандартный"		"8,3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,3""}"	
"289"	"51"	"30"		""				"71"		" стандартный"		"8,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,4""}"	
"290"	"51"	"30"		""				"71"		" стандартный"		"8,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,5""}"	
"291"	"51"	"30"		""				"71"		" стандартный"		"8,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,6""}"	
"292"	"51"	"30"		""				"71"		" стандартный"		"8,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,7""}"	
"293"	"51"	"30"		""				"71"		" стандартный"		"8,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,8""}"	
"294"	"51"	"30"		""				"71"		" стандартный"		"8,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""8,9""}"	
"295"	"51"	"30"		""				"71"		" стандартный"		"9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9""}"	
"296"	"51"	"30"		""				"71"		" стандартный"		"9,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,1""}"	
"297"	"51"	"30"		""				"71"		" стандартный"		"9,2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,2""}"	
"298"	"51"	"30"		""				"71"		" стандартный"		"9,3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,3""}"	
"299"	"51"	"30"		""				"71"		" стандартный"		"9,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,4""}"	
"300"	"51"	"30"		""				"71"		" стандартный"		"9,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,5""}"	
"301"	"51"	"30"		""				"71"		" стандартный"		"9,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,6""}"	
"302"	"51"	"30"		""				"71"		" стандартный"		"9,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,7""}"	
"303"	"51"	"30"		""				"71"		" стандартный"		"9,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,8""}"	
